,No,Group,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
0,1,Group1,2012.9170000000001,32.0,84.87881999999999,10,24.982979999999998,121.54024,37.9
1,2,Group1,2012.9170000000001,19.5,306.5947,9,24.980339999999998,121.53951,42.2
2,3,Group1,2013.5829999999999,13.3,561.9845,5,24.987460000000002,121.54391000000001,47.3
3,4,Group1,2013.5,13.3,561.9845,5,24.987460000000002,121.54391000000001,54.8
4,5,Group1,2012.8329999999999,5.0,390.5684,5,24.97937,121.54245,43.1
5,6,Group2,2012.6670000000001,7.1,2175.03,3,24.96305,121.51253999999999,32.1
6,7,Group2,2012.6670000000001,34.5,623.4731,7,24.979329999999997,121.53641999999999,40.3
7,8,Group2,2013.4170000000001,20.3,287.6025,6,24.980420000000002,121.54228,46.7
8,9,Group2,2013.5,31.7,5512.0380000000005,1,24.95095,121.48458000000001,18.8
9,10,Group2,2013.4170000000001,17.9,1783.18,3,24.96731,121.51486000000001,22.1
